Date,GOOGL,AAPL,MSFT
2023-09-01,135.66,189.46,328.66
2023-09-05,135.77,189.70,333.55
2023-09-06,134.46,182.91,332.88
2023-09-07,135.26,177.56,329.91
2023-09-08,136.38,178.18,334.27
2023-09-11,136.92,179.36,337.94
2023-09-12,135.34,176.30,331.77
2023-09-13,136.71,174.21,336.06
2023-09-14,138.10,175.74,338.70
2023-09-15,137.40,175.01,330.22
2023-09-18,138.21,177.97,329.06
2023-09-19,138.04,179.07,328.65
2023-09-20,133.74,175.49,320.77
2023-09-21,130.44,173.93,319.53
2023-09-22,130.25,174.79,317.01
2023-09-25,131.11,176.08,317.54
2023-09-26,128.56,171.96,312.14
2023-09-27,130.54,170.43,312.79
2023-09-28,132.31,170.69,313.64
2023-09-29,130.86,171.21,315.75
2023-10-02,134.17,173.75,321.80
2023-10-03,132.43,172.40,313.39
2023-10-04,135.24,173.66,318.95
2023-10-05,135.07,174.91,319.36
2023-10-06,137.58,177.49,327.26
2023-10-09,138.42,178.99,329.82
2023-10-10,138.06,178.39,328.39
2023-10-11,140.55,179.80,332.42
2023-10-12,138.97,180.71,331.16
2023-10-13,137.36,178.85,327.73
2023-10-16,139.09,178.72,332.64
2023-10-17,139.72,177.15,332.06
2023-10-18,137.96,175.84,330.11
2023-10-19,137.75,175.46,331.32
2023-10-20,135.60,172.88,326.67
2023-10-23,136.50,173.00,329.32
2023-10-24,138.81,173.44,330.53
2023-10-25,125.61,171.10,340.67
2023-10-26,122.28,166.89,327.89
2023-10-27,122.17,168.22,329.81
2023-10-30,124.46,170.29,337.31
2023-10-31,124.08,170.77,338.11
2023-11-01,126.45,173.97,346.07
2023-11-02,127.49,177.57,348.32
2023-11-03,129.10,176.65,352.80
2023-11-06,130.25,179.23,356.53
2023-11-07,130.97,181.82,360.53
2023-11-08,131.84,182.89,363.20
2023-11-09,130.24,182.41,360.69
2023-11-10,132.59,186.40,369.67
2023-11-13,132.09,184.80,366.68
2023-11-14,133.62,187.44,370.27
2023-11-15,134.62,188.01,369.67
2023-11-16,136.93,189.71,376.17
2023-11-17,135.31,189.69,369.85
2023-11-20,136.25,191.45,377.44
2023-11-21,136.97,190.64,373.07
2023-11-22,138.49,191.31,377.85
2023-11-24,136.69,189.97,377.43
2023-11-27,136.41,189.79,378.61
2023-11-28,137.20,190.40,382.70
2023-11-29,134.99,189.37,378.85
2023-11-30,132.53,189.95,378.91
2023-12-01,131.86,191.24,374.51
2023-12-04,129.27,189.43,369.14
2023-12-05,130.99,193.42,372.52
2023-12-06,130.02,192.32,368.80
2023-12-07,136.93,194.27,370.95
2023-12-08,134.99,195.71,374.23
2023-12-11,133.29,193.18,371.30
2023-12-12,132.52,194.71,374.38
2023-12-13,132.57,197.96,374.37
2023-12-14,131.94,198.11,365.93
2023-12-15,132.60,197.57,370.73
2023-12-18,135.80,195.89,372.65
2023-12-19,136.65,196.94,373.26
2023-12-20,138.34,194.83,370.62
2023-12-21,140.42,194.68,373.54
2023-12-22,141.49,193.60,374.58
2023-12-26,141.52,193.05,374.66
2023-12-27,140.37,193.15,374.07
2023-12-28,140.23,193.58,375.28
2023-12-29,139.69,192.53,376.04
2024-01-02,138.17,185.64,370.87
2024-01-03,138.92,184.25,370.60
2024-01-04,136.39,181.91,367.94
2024-01-05,135.73,181.18,367.75
2024-01-08,138.84,185.56,374.69
2024-01-09,140.95,185.14,375.79
2024-01-10,142.28,186.19,382.77
2024-01-11,142.08,185.59,384.63
2024-01-12,142.65,185.92,388.47
2024-01-16,142.49,183.63,390.27
2024-01-17,141.47,182.68,389.47
2024-01-18,143.48,188.63,393.87
2024-01-19,146.38,191.56,398.67
2024-01-22,145.99,193.89,396.51
2024-01-23,147.04,195.18,398.90
2024-01-24,148.70,194.50,402.56
2024-01-25,151.87,194.17,404.87
2024-01-26,152.19,192.42,403.93
2024-01-29,153.51,191.73,409.72
2024-01-30,151.46,188.04,408.59
2024-01-31,140.10,184.40,397.58
2024-02-01,141.16,186.86,403.78
2024-02-02,142.38,185.85,411.22
2024-02-05,143.68,187.68,405.65
2024-02-06,144.10,189.30,405.49
2024-02-07,145.54,189.41,414.05
2024-02-08,145.91,188.32,414.11
2024-02-09,149.00,188.85,420.55
2024-02-12,147.53,187.15,415.26
2024-02-13,145.14,185.04,406.32
2024-02-14,145.94,184.15,409.49
2024-02-15,142.77,183.86,406.56
2024-02-16,140.52,182.31,404.06
2024-02-20,141.12,181.56,402.79
2024-02-21,142.55,182.32,402.18
2024-02-22,144.09,184.37,411.65
2024-02-23,143.96,182.52,410.34
2024-02-26,137.57,181.16,407.54
2024-02-27,138.88,182.63,407.48
2024-02-28,136.38,181.42,407.72
2024-02-29,138.46,180.75,413.64
2024-03-01,137.14,179.66,415.50
2024-03-04,133.35,175.10,414.92
2024-03-05,132.67,170.12,402.65
2024-03-06,131.40,169.12,402.09
2024-03-07,134.38,169.00,409.14
2024-03-08,135.41,170.73,406.22
2024-03-11,137.67,172.75,404.52
2024-03-12,138.50,173.23,415.28
2024-03-13,139.79,171.13,415.10
2024-03-14,143.10,173.00,425.22
2024-03-15,141.18,172.62,416.42
2024-03-18,147.68,173.72,417.32
2024-03-19,147.03,176.08,421.41
2024-03-20,148.74,178.67,425.23
2024-03-21,147.60,171.37,429.37
2024-03-22,150.77,172.28,428.74
2024-03-25,150.07,170.85,422.86
2024-03-26,150.67,169.71,421.65
2024-03-27,150.87,173.31,421.43
2024-03-28,150.93,171.48,420.72
2024-04-01,155.49,170.03,424.57
2024-04-02,154.56,168.84,421.44
2024-04-03,154.92,169.65,420.45
2024-04-04,150.53,168.82,417.88
2024-04-05,152.50,169.58,425.52
2024-04-08,154.85,168.45,424.59
2024-04-09,156.60,169.67,426.28
2024-04-10,156.14,167.78,423.26
2024-04-11,159.41,175.04,427.93
2024-04-12,157.73,176.55,421.90
2024-04-15,154.86,172.69,413.64
2024-04-16,154.40,169.38,414.58
2024-04-17,155.47,168.00,411.84
2024-04-18,156.01,167.04,404.27
2024-04-19,154.09,165.00,399.12
2024-04-22,156.28,165.84,400.96
2024-04-23,158.26,166.90,407.57
2024-04-24,159.13,169.02,409.06
2024-04-25,156.00,169.89,399.04
2024-04-26,171.95,169.30,406.32
2024-04-29,166.15,173.50,402.25
2024-04-30,162.78,170.33,389.33
2024-05-01,163.86,169.30,394.94
2024-05-02,166.62,173.03,397.84
2024-05-03,167.24,183.38,406.66
2024-05-06,168.10,181.71,413.54
2024-05-07,171.25,182.40,409.34
2024-05-08,169.38,182.74,410.54
2024-05-09,169.96,184.57,412.32
2024-05-10,168.65,183.05,414.74
2024-05-13,169.14,186.28,413.72
2024-05-14,170.34,187.43,416.56
2024-05-15,172.51,189.72,423.08
2024-05-16,174.18,189.84,420.99
2024-05-17,176.06,189.87,420.21
2024-05-20,176.92,191.04,425.34
2024-05-21,177.85,192.35,429.04
2024-05-22,176.38,190.90,430.52
2024-05-23,173.55,186.88,427.00
2024-05-24,174.99,189.98,430.16
2024-05-28,176.40,189.99,430.32
2024-05-29,175.90,190.29,429.17
2024-05-30,172.11,191.29,414.67
2024-05-31,172.50,192.25,415.13
2024-06-03,173.17,194.03,413.52
2024-06-04,173.79,194.35,416.07
2024-06-05,175.41,195.87,424.01
2024-06-06,176.73,194.48,424.52
2024-06-07,174.46,196.89,423.85
2024-06-10,175.01,193.12,427.87
2024-06-11,176.62,207.15,432.68
2024-06-12,177.79,213.07,441.06
2024-06-13,175.16,214.24,441.58
2024-06-14,176.79,212.49,442.57
2024-06-17,177.24,216.67,448.37
2024-06-18,175.09,214.29,446.34
2024-06-20,176.30,209.68,445.70
2024-06-21,179.63,207.49,449.78
2024-06-24,179.22,208.14,447.67
2024-06-25,184.03,209.07,450.95
2024-06-26,183.88,213.25,452.16
2024-06-27,185.41,214.10,452.85
2024-06-28,182.15,210.62,446.95
2024-07-01,182.99,216.75,456.73
2024-07-02,185.24,220.27,459.28
2024-07-03,185.82,221.55,460.77
2024-07-05,190.60,226.34,467.56
2024-07-08,189.03,227.82,466.24
2024-07-09,188.98,228.68,459.54
2024-07-10,191.18,232.98,466.25
2024-07-11,185.57,227.57,454.70
2024-07-12,185.07,230.54,453.55
2024-07-15,186.53,234.40,453.96
