n_days,n_simulations,true_mu,alpha,mean_se,mean_ci_width,coverage_rate,rejection_rate
63,2000,0.0,0.05,0.0012549953671359584,0.005017399985827257,0.9495,0.0505
63,2000,0.0,0.01,0.0012549953671359584,0.006670246574553632,0.9905,0.0095
63,2000,0.0002,0.05,0.0012547125356885686,0.005016269241812351,0.9475,0.0555
63,2000,0.0002,0.01,0.0012547125356885686,0.006668743337535767,0.9905,0.0095
63,2000,0.0005,0.05,0.0012565858844420434,0.005023758783411683,0.9495,0.0725
63,2000,0.0005,0.01,0.0012565858844420434,0.006678700105849842,0.9905,0.017
63,2000,0.001,0.05,0.0012523088816145291,0.005006659569750738,0.945,0.1415
63,2000,0.001,0.01,0.0012523088816145291,0.006655968019177131,0.9895,0.0445
252,2000,0.0,0.05,0.0006286785175132975,0.0024763146719058563,0.943,0.057
252,2000,0.0,0.01,0.0006286785175132975,0.003263543294326305,0.988,0.012
252,2000,0.0002,0.05,0.0006286530492575746,0.00247621435447245,0.943,0.0675
252,2000,0.0002,0.01,0.0006286530492575746,0.0032634110856491084,0.988,0.018
252,2000,0.0005,0.05,0.0006295776935752569,0.0024798564548884584,0.954,0.1155
252,2000,0.0005,0.01,0.0006295776935752569,0.0032682110218303926,0.991,0.0365
252,2000,0.001,0.05,0.0006288892747011363,0.002477144827703956,0.9465,0.3745
252,2000,0.001,0.01,0.0006288892747011363,0.0032646373593976275,0.99,0.167
1008,2000,0.0,0.05,0.00031473168856290765,0.001235210180091121,0.948,0.052
1008,2000,0.0,0.01,0.00031473168856290765,0.0016244689776569125,0.988,0.012
1008,2000,0.0002,0.05,0.0003148593741445218,0.0012357113006836512,0.945,0.096
1008,2000,0.0002,0.01,0.0003148593741445218,0.001625128019227125,0.991,0.029
1008,2000,0.0005,0.05,0.0003148665201722345,0.0012357393463063155,0.955,0.332
1008,2000,0.0005,0.01,0.0003148665201722345,0.0016251649030261026,0.988,0.145
1008,2000,0.001,0.05,0.00031483195206374203,0.001235603678748621,0.948,0.877
1008,2000,0.001,0.01,0.00031483195206374203,0.0016249864817806325,0.9905,0.718
